FundLongName;ValorSymbol;FundReutersTicker;FundBloombergTicker;ValorNumber;ISIN;IssuerLongNameDesc;IssuerNameFull;TradingBaseCurrency;FundCurrency;ManagementFee;ReplicationMethodDesc;ManagementStyleDesc;MarketMakers;ClosingPrice;ClosingPerformance;ClosingDelta;FundUnderlyingDescription;BidVolume;BidPrice;AskVolume;AskPrice;MidSpread;PreviousClosingPrice;MarketDate;MarketTime;OpeningPrice;OpeningPrice;DailyLowPrice;OnMarketVolume;OffBookVolume;TotalTurnover;TotalTurnoverCHF;ProductLineDesc;AssetClassDesc;UnderlyingGeographicalDesc;LegalStructureCountryDesc;UnderlyingProviderDesc
21Shares Algorand (ALGO) ETP;ALGO;ALGO.S;ALGO SE;114688231;CH1146882316;21Shares AG;21Shares AG;CHF;USD;2.5;physical;passive;Flow Traders B.V.;2.0275;-7.12;-0.1555;N/A;0;;0;;;2.183;20221216;;;;;0;0;0;0;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Algorand (ALGO) ETP;ALGO;ALGO.S;ALGO SE;114688231;CH1146882316;21Shares AG;21Shares AG;EUR;USD;2.5;physical;passive;Flow Traders B.V.;2.049;-7.18;-0.1585;N/A;0;;0;;;2.2075;20221216;;;;;0;0;0;0;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Algorand (ALGO) ETP;ALGO;ALGO.S;ALGO SE;114688231;CH1146882316;21Shares AG;21Shares AG;USD;USD;2.5;physical;passive;Flow Traders B.V.;2.152;-8.45;-0.1985;N/A;0;;0;;;2.3505;20221216;;2.152;2.152;2.152;8000;0;17216;15964.4;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Avalanche (AVAX) ETP;AVAX;AVAX.S;AVAX.SE;113520208;CH1135202088;21Shares AG;21Shares AG;CHF;USD;2.5;Physical;passive;Flow Traders B.V.;2.293;-6.06;-0.148;N/A;0;;90;25;;2.441;20221216;;2.293;2.293;2.293;550;0;1261.15;1261.15;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Avalanche (AVAX) ETP;AVAX;AVAX.S;AVAX.SE;113520208;CH1135202088;21Shares AG;21Shares AG;EUR;USD;2.5;Physical;passive;Flow Traders B.V.;2.3125;-6.24;-0.154;N/A;0;;0;;;2.4665;20221216;;;;;0;0;0;0;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Avalanche (AVAX) ETP;AVAX;AVAX.S;AVAX.SE;113520208;CH1135202088;21Shares AG;21Shares AG;GBP;USD;2.5;Physical;passive;Flow Traders B.V.;2.015;-6.21;-0.1335;N/A;0;;0;;;2.1485;20221216;;;;;0;0;0;0;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Avalanche (AVAX) ETP;AVAX;AVAX.S;AVAX.SE;113520208;CH1135202088;21Shares AG;21Shares AG;USD;USD;2.5;Physical;passive;Flow Traders B.V.|Virtu Financial Ireland Ltd.;2.5;-4.78;-0.1255;N/A;1000;0.5;100;99;197.9899;2.6255;20221216;;2.5;2.5;2.5;50;0;125;115.91;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Binance BNB ETP;ABNB;ABNB.S ;ABNB.SE ;49645415;CH0496454155;21Shares AG;21Shares AG;USD;USD;2.5;Unknown;passive;Flow Traders B.V.|Virtu Financial Ireland Ltd.;17.918;-5.46;-1.034;N/A ;0;;0;;;18.952;20221216;;17.918;17.918;17.918;222;0;3977.8;3688.61;Exchange Traded Product;Crypto;Global;Switzerland;N/A 
21Shares Bitcoin Cash ETP;ABCH;ABCH.S;ABCH SW;47555220;CH0475552201;21Shares AG;21Shares AG;USD;USD;2.5;Unknown;passive;Flow Traders B.V.;4.5765;-4.41;-0.211;Bitcoin Cash;0;;0;;;4.7875;20221216;;4.7405;4.7405;4.5765;1801;0;8242.44;7643.21;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Bitcoin Core ETP;CBTC;CBTC.S;CBTC SE;119906767;CH1199067674;21Shares AG;21Shares AG;USD;USD;0.21;Physical;passive;Flow Traders B.V.;4.0535;-3.27;-0.137;N/A;0;;0;;;4.1905;20221216;;;;;0;0;0;0;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Bitcoin ETP;ABTC;ABTC.S;ABTC SE;45466400;CH0454664001;21Shares AG;21Shares AG;CHF;USD;1.49;physical;passive;Flow Traders B.V.|GHCO (Goldenberg Hehmeyer LLP);5.5;-3.73;-0.213;vinter;600;4.75;125;6.65;33.3333;5.713;20221216;;5.641;5.641;5.5;12060;0;67777.26;67777.26;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Bitcoin ETP;ABTC;ABTC.S ;ABTC SE ;45466400;CH0454664001;21Shares AG;21Shares AG;EUR;USD;1.49;physical;passive;Flow Traders B.V.|GHCO (Goldenberg Hehmeyer LLP);5.55;-4.31;-0.25;vinter;0;;0;;;5.8;20221216;;;;;0;0;0;0;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Bitcoin ETP;ABTC;ABTC.S ;ABTC SE ;45466400;CH0454664001;21Shares AG;21Shares AG;GBP;USD;1.49;physical;passive;Flow Traders B.V.|GHCO (Goldenberg Hehmeyer LLP);4.839;-2.51;-0.1245;vinter;0;;0;;;4.9635;20221216;;;;;0;0;0;0;Exchange Traded Product;Crypto;Global;Switzerland;N/A
