FundLongName;ValorSymbol;FundReutersTicker;FundBloombergTicker;ValorNumber;ISIN;IssuerLongNameDesc;IssuerNameFull;TradingBaseCurrency;FundCurrency;ManagementFee;ReplicationMethodDesc;ManagementStyleDesc;MarketMakers;ClosingPrice;ClosingPerformance;ClosingDelta;FundUnderlyingDescription;BidVolume;BidPrice;AskVolume;AskPrice;MidSpread;PreviousClosingPrice;MarketDate;MarketTime;OpeningPrice;OpeningPrice;DailyLowPrice;OnMarketVolume;OffBookVolume;TotalTurnover;TotalTurnoverCHF;ProductLineDesc;AssetClassDesc;UnderlyingGeographicalDesc;LegalStructureCountryDesc;UnderlyingProviderDesc
21Shares Algorand (ALGO) ETP;ALGO;ALGO.S;ALGO SE;114688231;CH1146882316;21Shares AG;21Shares AG;CHF;USD;2.5;physical;passive;Flow Traders B.V.;1.8088;-10.79;-0.2187;N/A;0;;0;;;2.0275;20221219;192200;;;;0;0;0;0;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Algorand (ALGO) ETP;ALGO;ALGO.S;ALGO SE;114688231;CH1146882316;21Shares AG;21Shares AG;EUR;USD;2.5;physical;passive;Flow Traders B.V.;1.831;-10.64;-0.218;N/A;0;;0;;;2.049;20221219;192200;;;;0;0;0;0;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Algorand (ALGO) ETP;ALGO;ALGO.S;ALGO SE;114688231;CH1146882316;21Shares AG;21Shares AG;USD;USD;2.5;physical;passive;Flow Traders B.V.;1.942;-9.76;-0.21;N/A;0;;0;;;2.152;20221219;192200;;;;0;0;0;0;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Avalanche (AVAX) ETP;AVAX;AVAX.S;AVAX.SE;113520208;CH1135202088;21Shares AG;21Shares AG;CHF;USD;2.5;Physical;passive;Flow Traders B.V.;2.1785;-4.99;-0.1145;N/A;0;;90;25;;2.293;20221219;192200;2.1785;2.1785;2.1785;400;0;871.4;871.4;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Avalanche (AVAX) ETP;AVAX;AVAX.S;AVAX.SE;113520208;CH1135202088;21Shares AG;21Shares AG;EUR;USD;2.5;Physical;passive;Flow Traders B.V.;2.1905;-5.28;-0.122;N/A;0;;0;;;2.3125;20221219;192200;;;;0;0;0;0;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Avalanche (AVAX) ETP;AVAX;AVAX.S;AVAX.SE;113520208;CH1135202088;21Shares AG;21Shares AG;GBP;USD;2.5;Physical;passive;Flow Traders B.V.;1.9084;-5.29;-0.1066;N/A;0;;0;;;2.015;20221219;192200;;;;0;0;0;0;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Avalanche (AVAX) ETP;AVAX;AVAX.S;AVAX.SE;113520208;CH1135202088;21Shares AG;21Shares AG;USD;USD;2.5;Physical;passive;Flow Traders B.V.|Virtu Financial Ireland Ltd.;2.344;-6.24;-0.156;N/A;0;;100;99;;2.5;20221219;192200;2.344;2.344;2.344;5800;0;13652.45;12714.53;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Binance BNB ETP;ABNB;ABNB.S ;ABNB.SE ;49645415;CH0496454155;21Shares AG;21Shares AG;USD;USD;2.5;Unknown;passive;Flow Traders B.V.|Virtu Financial Ireland Ltd.;17.792;-0.7;-0.126;N/A ;0;;0;;;17.918;20221219;192200;17.748;17.748;17.748;12558;0;275468.76;256544.06;Exchange Traded Product;Crypto;Global;Switzerland;N/A 
21Shares Bitcoin Cash ETP;ABCH;ABCH.S;ABCH SW;47555220;CH0475552201;21Shares AG;21Shares AG;USD;USD;2.5;Unknown;passive;Flow Traders B.V.;4.479;-2.13;-0.0975;Bitcoin Cash;0;;0;;;4.5765;20221219;192200;4.4945;4.4945;4.479;600;0;2688.95;2504.22;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Bitcoin Core ETP;CBTC;CBTC.S;CBTC SE;119906767;CH1199067674;21Shares AG;21Shares AG;USD;USD;0.21;Physical;passive;Flow Traders B.V.;3.9945;-1.46;-0.059;N/A;0;;0;;;4.0535;20221219;192200;;;;0;0;0;0;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Bitcoin ETP;ABTC;ABTC.S;ABTC SE;45466400;CH0454664001;21Shares AG;21Shares AG;CHF;USD;1.49;physical;passive;Flow Traders B.V.|GHCO (Goldenberg Hehmeyer LLP);5.426;-1.35;-0.074;vinter;600;4.75;800;5.8;19.9052;5.5;20221219;192200;5.42;5.42;5.42;6200;0;33673;33673;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Bitcoin ETP;ABTC;ABTC.S ;ABTC SE ;45466400;CH0454664001;21Shares AG;21Shares AG;EUR;USD;1.49;physical;passive;Flow Traders B.V.|GHCO (Goldenberg Hehmeyer LLP);5.462;-1.59;-0.088;vinter;0;;0;;;5.55;20221219;192200;;;;0;0;0;0;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Bitcoin ETP;ABTC;ABTC.S ;ABTC SE ;45466400;CH0454664001;21Shares AG;21Shares AG;GBP;USD;1.49;physical;passive;Flow Traders B.V.|GHCO (Goldenberg Hehmeyer LLP);4.7735;-1.35;-0.0655;vinter;0;;0;;;4.839;20221219;192200;4.7735;4.7735;4.7735;1000;0;4773.5;5416.49;Exchange Traded Product;Crypto;Global;Switzerland;N/A
